Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume
2022/6/30, 02:02:00.0, 3775.50, 3775.75, 3772.00, 3774.50, 902, 830, 3774.44, 3774.08, 3773.88, 443, 459
2022/6/30, 02:03:00.0, 3774.75, 3776.50, 3772.50, 3772.75, 819, 678, 3774.13, 3773.92, 3774.50, 365, 454
2022/6/30, 02:04:00.0, 3772.50, 3774.75, 3772.25, 3772.50, 417, 365, 3773.00, 3773.17, 3773.50, 220, 197
2022/6/30, 02:05:00.0, 3772.50, 3773.50, 3770.25, 3770.75, 600, 517, 3771.75, 3771.50, 3771.88, 296, 304
2022/6/30, 02:06:00.0, 3770.50, 3773.00, 3770.00, 3773.00, 429, 395, 3771.63, 3772.00, 3771.50, 194, 235
2022/6/30, 02:07:00.0, 3773.00, 3773.00, 3770.00, 3770.75, 763, 631, 3771.69, 3771.25, 3771.50, 435, 328
2022/6/30, 02:08:00.0, 3770.75, 3775.00, 3769.00, 3774.75, 653, 556, 3772.38, 3772.92, 3772.00, 259, 394
2022/6/30, 02:09:00.0, 3774.75, 3775.50, 3773.25, 3773.50, 567, 496, 3774.25, 3774.08, 3774.38, 273, 294
2022/6/30, 02:10:00.0, 3773.50, 3777.50, 3773.25, 3777.00, 849, 668, 3775.31, 3775.92, 3775.38, 334, 515
2022/6/30, 02:11:00.0, 3777.25, 3778.00, 3775.00, 3776.00, 495, 446, 3776.56, 3776.33, 3776.50, 215, 280
2022/6/30, 02:12:00.0, 3775.75, 3775.75, 3771.00, 3771.25, 623, 549, 3773.44, 3772.67, 3773.38, 367, 256
2022/6/30, 02:13:00.0, 3771.25, 3773.00, 3769.75, 3772.25, 442, 383, 3771.56, 3771.67, 3771.38, 243, 199
2022/6/30, 02:14:00.0, 3772.50, 3773.75, 3772.00, 3772.75, 274, 254, 3772.75, 3772.83, 3772.88, 118, 156
2022/6/30, 02:15:00.0, 3772.25, 3772.25, 3767.50, 3768.00, 580, 479, 3770.00, 3769.25, 3769.88, 369, 211
2022/6/30, 02:16:00.0, 3767.75, 3769.00, 3766.25, 3767.25, 1359, 854, 3767.56, 3767.50, 3767.63, 753, 606
2022/6/30, 02:17:00.0, 3767.00, 3768.25, 3765.25, 3766.75, 1371, 1108, 3766.81, 3766.75, 3766.75, 605, 766
2022/6/30, 02:18:00.0, 3766.75, 3768.25, 3765.50, 3766.25, 1039, 782, 3766.69, 3766.67, 3766.88, 538, 501
2022/6/30, 02:19:00.0, 3766.00, 3768.75, 3765.50, 3768.25, 745, 491, 3767.13, 3767.50, 3767.13, 330, 415
