date,time,open,high,low,close,volume
2021-06-15,00:00:00,14135,14136.5,14128,14132.5,1483
2021-06-15,01:00:00,14132.5,14138,14124.5,14138,2331
2021-06-15,02:00:00,14137.25,14146.25,14127,14138.25,3372
2021-06-15,03:00:00,14138.5,14154.25,14133.25,14141.25,5028
2021-06-15,04:00:00,14141.25,14144,14133.5,14139.25,3906
2021-06-15,05:00:00,14138.5,14139.75,14127.25,14128.5,2133
2021-06-15,06:00:00,14128.5,14140.75,14120.75,14140.5,3442
2021-06-15,07:00:00,14140.25,14145.5,14132.25,14139,4466
2021-06-15,08:00:00,14138.5,14145.25,14109.5,14114,10483
2021-06-15,09:00:00,14113.75,14122.5,14063.75,14097.25,66353
2021-06-15,10:00:00,14097.5,14103.75,14049.5,14058.5,69901
2021-06-15,11:00:00,14058.5,14075,14027.5,14056,39572
2021-06-15,12:00:00,14055.75,14065.25,14031,14037.5,25866
2021-06-15,13:00:00,14038.25,14042.75,14022,14039.75,24199
2021-06-15,14:00:00,14039.25,14046.75,14007.5,14022.75,30245
2021-06-15,15:00:00,14022.75,14045.25,14000.75,14027.25,56205
2021-06-15,16:00:00,14027.25,14041,14018.75,14037.75,5773
2021-06-15,18:00:00,14039,14042.25,14032,14034.75,1388
2021-06-15,19:00:00,14034,14038.5,14025.75,14031.75,1485
2021-06-15,20:00:00,14031.75,14040.5,14027.75,14028.75,2140
2021-06-15,21:00:00,14028.75,14036,14023.75,14031.75,2108
2021-06-15,22:00:00,14031.75,14034.5,14024.25,14028.5,1589
2021-06-15,23:00:00,14028.5,14036.75,14025,14035.5,1500
2021-06-16,00:00:00,14036,14039.5,14031,14035.5,1303
2021-06-16,01:00:00,14035.75,14041.25,14028.5,14033.25,1565
2021-06-16,02:00:00,14032.75,14044.5,14028.5,14039.75,2189
2021-06-16,03:00:00,14040,14048.75,14030,14037.25,4496
2021-06-16,04:00:00,14037,14038.75,14026.25,14037,3884
2021-06-16,05:00:00,14037.25,14039.75,14024,14033.25,2981
2021-06-16,06:00:00,14033.5,14046.75,14030.25,14034,3813
2021-06-16,07:00:00,14034.5,14044,14029,14030.25,4017
2021-06-16,08:00:00,14030.5,14044.75,14018.5,14044.5,6907
2021-06-16,09:00:00,14044.25,14087.5,14040.5,14079.5,56269
2021-06-16,10:00:00,14079.75,14095.75,14048.75,14060.25,51701
2021-06-16,11:00:00,14060,14063,14023.75,14025.25,38482
2021-06-16,12:00:00,14025.25,14029,13975.75,14016.5,46763
2021-06-16,13:00:00,14017,14039.5,14004.75,14014.5,32321
2021-06-16,14:00:00,14014,14014,13830.25,13916.5,160821
2021-06-16,15:00:00,13916.75,14030.75,13907,13975.75,88239
2021-06-16,16:00:00,13976,13983.75,13930.5,13930.75,11475
2021-06-16,18:00:00,13941,13941,13914,13914.75,6602
2021-06-16,19:00:00,13914.75,13919.5,13885,13886.5,6029
2021-06-16,20:00:00,13887,13889.5,13841.75,13869.5,10518
2021-06-16,21:00:00,13869.5,13901.25,13853.5,13897.25,7716
2021-06-16,22:00:00,13897.25,13909.5,13890.75,13904,4268
2021-06-16,23:00:00,13904.5,13909.25,13891.25,13902.75,3075
2021-06-17,00:00:00,13903.25,13914,13896.25,13911,2080
2021-06-17,01:00:00,13910,13924.25,13907.25,13910,3137
2021-06-17,02:00:00,13911.25,13913.75,13881.5,13900,7885
2021-06-17,03:00:00,13900.5,13912.5,13883,13888.5,8398
2021-06-17,04:00:00,13888.5,13910.25,13867.5,13880.75,9070
2021-06-17,05:00:00,13881.25,13908.75,13877.5,13906,5843
2021-06-17,06:00:00,13907,13917,13882.25,13902.75,6151
